"Story","Title","Result","Date","Stability","Duration (s)"
"Employees","Search employee","SUCCESS","2024-03-19T12:29:31.98+08:00[Asia/Shanghai]","0.0","67.88"
"Manage bank account","Add a bank account","SUCCESS","2024-03-19T12:30:43.619+08:00[Asia/Shanghai]","0.0","119.89"
"Manage bank account","Edit a bank account","FAILURE","2024-03-19T12:32:44.224+08:00[Asia/Shanghai]","0.0","39.89"
"Manage bank account","Search a bank account","SUCCESS","2024-03-19T12:33:24.995+08:00[Asia/Shanghai]","0.0","37.51"
"Manage bank account","Activate a bank account","SUCCESS","2024-03-19T12:34:03.258+08:00[Asia/Shanghai]","0.0","47.23"
"Manage bank account","Manage bank account using GVAGL bank account","FAILURE","2024-03-19T12:34:51.181+08:00[Asia/Shanghai]","0.0","44.42"
"Payments","Manual payment partial","SUCCESS","2024-03-19T12:35:37.146+08:00[Asia/Shanghai]","0.0","198.33"
"Payments","Manual payment with multiple documents","ERROR","2024-03-19T12:38:56.185+08:00[Asia/Shanghai]","0.0","244.33"
"Payments","Application of prepayment full","ERROR","2024-03-19T12:43:01.211+08:00[Asia/Shanghai]","0.0","105.78"
"Payments","Manual payment with negative amount","ERROR","2024-03-19T12:44:47.674+08:00[Asia/Shanghai]","0.0","217.04"
"Payments","Manual payment with zero payments","ERROR","2024-03-19T12:48:25.42+08:00[Asia/Shanghai]","0.0","238.89"
"Payments","Manual payment full","SUCCESS","2024-03-19T12:52:25.017+08:00[Asia/Shanghai]","0.0","216.39"
"Payments","Application of prepayment partial","ERROR","2024-03-19T12:56:02.103+08:00[Asia/Shanghai]","0.0","75.82"
"Pre registration","Pre logging and gl distribution voucher match","SUCCESS","2024-03-19T12:57:20.784+08:00[Asia/Shanghai]","0.0","143.43"
"Pre registration","Pre logging multi docs","ERROR","2024-03-19T12:59:44.914+08:00[Asia/Shanghai]","0.0","133.59"
"Pre registration","Pre logging","ERROR","2024-03-19T13:01:59.206+08:00[Asia/Shanghai]","0.0","96.27"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2024-03-19T13:03:36.186+08:00[Asia/Shanghai]","0.0","106.58"
"Pre registration","Pre logging simple","ERROR","2024-03-19T13:05:23.444+08:00[Asia/Shanghai]","0.0","52.11"
"Pre registration","Pre logging with tax rate","SUCCESS","2024-03-19T13:06:16.262+08:00[Asia/Shanghai]","0.0","117.27"
"Redistribution","Pre logging GL distribution current year","ERROR","2024-03-19T13:08:15.448+08:00[Asia/Shanghai]","0.0","49.83"
"Redistribution","Pre logging GL distribution prior year","SUCCESS","2024-03-19T13:09:05.98+08:00[Asia/Shanghai]","0.0","101.64"
"Redistribution","Voucher match with tolerance","ERROR","2024-03-19T13:10:48.336+08:00[Asia/Shanghai]","0.0","126.49"
"Review AP entries","Edit voucher entries delete a line","ERROR","2024-03-19T13:12:56.192+08:00[Asia/Shanghai]","0.0","208.87"
"Review AP entries","Create manual payment and delete unposted payment","ERROR","2024-03-19T13:16:25.798+08:00[Asia/Shanghai]","0.0","237.74"
"Review AP entries","Clear employee field for GL distribution and voucher entries","ERROR","2024-03-19T13:20:24.29+08:00[Asia/Shanghai]","0.0","144.27"
"Review AP entries","Reversal of unposted PO redistribution","SUCCESS","2024-03-19T13:22:49.269+08:00[Asia/Shanghai]","0.0","112.05"
"Review AP entries","Create voucher entry and edit","ERROR","2024-03-19T13:24:42.013+08:00[Asia/Shanghai]","0.0","144.62"
