"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2023-05-24T09:44:15.396+08:00[Asia/Shanghai]","0.0","57.74"
"Voucher entries","Checking line reference place holder","ERROR","2023-05-24T09:48:10.917+08:00[Asia/Shanghai]","0.0","276.86"
"Voucher entries","Search and post PV","ERROR","2023-05-24T09:52:48.428+08:00[Asia/Shanghai]","0.0","55.54"
"Voucher entries","Voucher match with tax","ERROR","2023-05-24T09:56:23.75+08:00[Asia/Shanghai]","0.0","53.71"
"Voucher entries","Partial voucher match","ERROR","2023-05-24T09:57:18.12+08:00[Asia/Shanghai]","0.0","53.94"
"Voucher entries","Voucher match with retention","ERROR","2023-05-24T09:58:12.704+08:00[Asia/Shanghai]","0.0","52.12"
"Voucher entries","Voucher entry import CSV file","ERROR","2023-05-24T09:59:05.964+08:00[Asia/Shanghai]","0.0","103.94"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2023-05-24T10:00:50.571+08:00[Asia/Shanghai]","0.0","54.77"
"Voucher entries","Partial voucher match with tax rate","ERROR","2023-05-24T10:01:46.006+08:00[Asia/Shanghai]","0.0","55.85"
"Voucher entries","Voucher entry multi docs","ERROR","2023-05-24T10:02:42.505+08:00[Asia/Shanghai]","0.0","154.23"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2023-05-24T10:05:17.386+08:00[Asia/Shanghai]","0.0","55.93"
"Voucher entries","Voucher entry proceed to payment","ERROR","2023-05-24T10:07:32.22+08:00[Asia/Shanghai]","0.0","256.04"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2023-05-24T10:11:48.913+08:00[Asia/Shanghai]","0.0","50.0"
"Voucher entries","Partial voucher match with retention","ERROR","2023-05-24T10:12:39.586+08:00[Asia/Shanghai]","0.0","102.82"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2023-05-24T10:14:23.069+08:00[Asia/Shanghai]","0.0","50.54"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2023-05-24T10:21:43.352+08:00[Asia/Shanghai]","0.0","55.89"
"Voucher entries","Voucher match with retention and tax","ERROR","2023-05-24T10:22:39.914+08:00[Asia/Shanghai]","0.0","126.09"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2023-05-24T10:24:46.665+08:00[Asia/Shanghai]","0.0","52.7"
"Voucher entries","Simple voucher match","ERROR","2023-05-24T10:25:40.022+08:00[Asia/Shanghai]","0.0","53.04"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2023-05-24T10:29:01.256+08:00[Asia/Shanghai]","0.0","55.58"
"Voucher entries","Voucher matching","ERROR","2023-05-24T10:31:14.693+08:00[Asia/Shanghai]","0.0","55.3"
"Voucher entries","Voucher entry export CSV file","ERROR","2023-05-24T10:32:10.667+08:00[Asia/Shanghai]","0.0","244.42"
"Voucher entries","Voucher match with rounded off tax","ERROR","2023-05-24T10:41:33.281+08:00[Asia/Shanghai]","0.0","56.46"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2023-05-24T10:45:04.018+08:00[Asia/Shanghai]","0.0","57.94"
