"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Search a bank account","FAILURE","2023-05-24T07:49:03.601+08:00[Asia/Shanghai]","0.0","53.99"
"Supplier creation","Search a supplier","FAILURE","2023-05-24T09:31:59.58+08:00[Asia/Shanghai]","0.0","45.79"
"Supplier creation","Validate or deactivate a supplier","FAILURE","2023-05-24T09:32:46.021+08:00[Asia/Shanghai]","0.0","48.48"
"Unbilled PO receipts","Matching receipt","FAILURE","2023-05-24T09:36:31.72+08:00[Asia/Shanghai]","0.0","51.83"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2023-05-24T09:37:24.213+08:00[Asia/Shanghai]","0.0","53.34"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2023-05-24T09:38:18.209+08:00[Asia/Shanghai]","0.0","57.35"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2023-05-24T09:39:16.228+08:00[Asia/Shanghai]","0.0","58.64"
"Unbilled PO receipts","Unbilled POCUPR simple","FAILURE","2023-05-24T09:40:15.531+08:00[Asia/Shanghai]","0.0","47.02"
"Voucher entries","Release retention full","FAILURE","2023-05-24T09:41:03.817+08:00[Asia/Shanghai]","0.0","51.65"
"Voucher entries","Voucher entry with tax rate rounded","FAILURE","2023-05-24T10:29:57.502+08:00[Asia/Shanghai]","0.0","76.54"
