"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Activate a bank account","SUCCESS","2023-05-24T07:49:58.432+08:00[Asia/Shanghai]","0.0","59.06"
"Pre registration","Pre logging and gl distribution voucher match","SUCCESS","2023-05-24T08:26:34.001+08:00[Asia/Shanghai]","0.0","148.28"
"Pre registration","Pre logging multi docs","SUCCESS","2023-05-24T08:29:02.962+08:00[Asia/Shanghai]","0.0","204.42"
"Pre registration","Pre logging","SUCCESS","2023-05-24T08:32:28.045+08:00[Asia/Shanghai]","0.0","98.8"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2023-05-24T08:34:07.496+08:00[Asia/Shanghai]","0.0","101.73"
"Pre registration","Pre logging simple","SUCCESS","2023-05-24T08:35:49.87+08:00[Asia/Shanghai]","0.0","68.63"
"Pre registration","Pre logging with tax rate","SUCCESS","2023-05-24T08:36:59.148+08:00[Asia/Shanghai]","0.0","108.23"
"Redistribution","Pre logging GL distribution current year","SUCCESS","2023-05-24T08:38:50.056+08:00[Asia/Shanghai]","0.0","99.84"
"Redistribution","Pre logging GL distribution prior year","SUCCESS","2023-05-24T08:40:30.534+08:00[Asia/Shanghai]","0.0","105.25"
"Review AP entries","Edit voucher entries delete a line","SUCCESS","2023-05-24T08:44:03.982+08:00[Asia/Shanghai]","0.0","292.69"
"Review AP entries","Clear employee field for GL distribution and voucher entries","SUCCESS","2023-05-24T08:53:09.19+08:00[Asia/Shanghai]","0.0","146.2"
"Review AP entries","Reversal of unposted PO redistribution","SUCCESS","2023-05-24T08:55:36.052+08:00[Asia/Shanghai]","0.0","129.88"
"Review AP entries","Edit AP entries","SUCCESS","2023-05-24T09:00:41.357+08:00[Asia/Shanghai]","0.0","157.26"
"Review AP entries","Review voucher AP entries","SUCCESS","2023-05-24T09:03:19.262+08:00[Asia/Shanghai]","0.0","136.45"
"Review AP entries","Search payment","SUCCESS","2023-05-24T09:05:36.351+08:00[Asia/Shanghai]","0.0","35.42"
"Review AP entries","Check edit button for voucher entry and redistribute GL","SUCCESS","2023-05-24T09:08:07.954+08:00[Asia/Shanghai]","0.0","239.39"
"Review AP entries","Print payment form","SUCCESS","2023-05-24T09:12:07.993+08:00[Asia/Shanghai]","0.0","97.14"
"Review AP entries","Edit voucher entry line account number","SUCCESS","2023-05-24T09:13:45.779+08:00[Asia/Shanghai]","0.0","205.18"
"Review AP entries","Payment information","SUCCESS","2023-05-24T09:17:11.608+08:00[Asia/Shanghai]","0.0","89.29"
"Review AP entries","Delete voucher AP entry","SUCCESS","2023-05-24T09:18:41.547+08:00[Asia/Shanghai]","0.0","128.48"
"Review AP entries","Create voucher entry and test filter selection","SUCCESS","2023-05-24T09:20:50.685+08:00[Asia/Shanghai]","0.0","212.18"
"Review AP entries","Create voucher entry review and delete","SUCCESS","2023-05-24T09:24:23.526+08:00[Asia/Shanghai]","0.0","172.2"
"Supplier creation","View a supplier","SUCCESS","2023-05-24T09:27:24.965+08:00[Asia/Shanghai]","0.0","54.04"
"Supplier creation","Edit a supplier","SUCCESS","2023-05-24T09:28:20.151+08:00[Asia/Shanghai]","0.0","102.11"
"Supplier creation","Payment terms update","SUCCESS","2023-05-24T09:30:03.299+08:00[Asia/Shanghai]","0.0","115.63"
"Supplier creation","Supplier and supplier master creation","SUCCESS","2023-05-24T09:33:35.159+08:00[Asia/Shanghai]","0.0","81.84"
"Unbilled PO receipts","Close unbilled PO receipt","SUCCESS","2023-05-24T09:34:58.541+08:00[Asia/Shanghai]","0.0","92.53"
"Voucher entries","Voucher entry without tax rate","SUCCESS","2023-05-24T09:41:56.129+08:00[Asia/Shanghai]","0.0","138.61"
"Voucher entries","Voucher entry with single multiple lines","SUCCESS","2023-05-24T09:45:13.804+08:00[Asia/Shanghai]","0.0","176.43"
"Voucher entries","Voucher entry delete a line","SUCCESS","2023-05-24T09:53:44.631+08:00[Asia/Shanghai]","0.0","158.48"
"Voucher entries","Simple prepayment","SUCCESS","2023-05-24T10:06:13.981+08:00[Asia/Shanghai]","0.0","77.49"
"Voucher entries","Create voucher entry using sustainability accounts","SUCCESS","2023-05-24T10:15:14.265+08:00[Asia/Shanghai]","0.0","388.42"
"Voucher entries","Release retention partial","SUCCESS","2023-05-24T10:26:33.726+08:00[Asia/Shanghai]","0.0","146.87"
"Voucher entries","Creating voucher entry","SUCCESS","2023-05-24T10:36:15.747+08:00[Asia/Shanghai]","0.0","116.21"
"Voucher entries","Release retention adding a line","SUCCESS","2023-05-24T10:38:12.612+08:00[Asia/Shanghai]","0.0","199.99"
"Voucher entries","Voucher entry credit memo","SUCCESS","2023-05-24T10:42:30.42+08:00[Asia/Shanghai]","0.0","152.91"
