"Story","Title","Result","Date","Stability","Duration (s)"
"Review AP entries","Edit voucher entries delete a line","SUCCESS","2023-05-24T08:44:03.982+08:00[Asia/Shanghai]","0.0","292.69"
"Review AP entries","Clear employee field for GL distribution and voucher entries","SUCCESS","2023-05-24T08:53:09.19+08:00[Asia/Shanghai]","0.0","146.2"
"Review AP entries","Reversal of unposted PO redistribution","SUCCESS","2023-05-24T08:55:36.052+08:00[Asia/Shanghai]","0.0","129.88"
"Review AP entries","Edit AP entries","SUCCESS","2023-05-24T09:00:41.357+08:00[Asia/Shanghai]","0.0","157.26"
"Review AP entries","Review voucher AP entries","SUCCESS","2023-05-24T09:03:19.262+08:00[Asia/Shanghai]","0.0","136.45"
"Review AP entries","Search payment","SUCCESS","2023-05-24T09:05:36.351+08:00[Asia/Shanghai]","0.0","35.42"
"Review AP entries","Check edit button for voucher entry and redistribute GL","SUCCESS","2023-05-24T09:08:07.954+08:00[Asia/Shanghai]","0.0","239.39"
"Review AP entries","Print payment form","SUCCESS","2023-05-24T09:12:07.993+08:00[Asia/Shanghai]","0.0","97.14"
"Review AP entries","Edit voucher entry line account number","SUCCESS","2023-05-24T09:13:45.779+08:00[Asia/Shanghai]","0.0","205.18"
"Review AP entries","Payment information","SUCCESS","2023-05-24T09:17:11.608+08:00[Asia/Shanghai]","0.0","89.29"
"Review AP entries","Delete voucher AP entry","SUCCESS","2023-05-24T09:18:41.547+08:00[Asia/Shanghai]","0.0","128.48"
"Review AP entries","Create voucher entry and test filter selection","SUCCESS","2023-05-24T09:20:50.685+08:00[Asia/Shanghai]","0.0","212.18"
"Review AP entries","Create voucher entry review and delete","SUCCESS","2023-05-24T09:24:23.526+08:00[Asia/Shanghai]","0.0","172.2"
