"Story","Title","Result","Date","Stability","Duration (s)"
"Employees","Search employee","SUCCESS","2023-05-24T07:41:44.266+08:00[Asia/Shanghai]","0.0","66.66"
"Manage bank account","Add a bank account","ERROR","2023-05-24T07:42:55.562+08:00[Asia/Shanghai]","0.0","187.63"
"Manage bank account","Edit a bank account","ERROR","2023-05-24T07:46:04.099+08:00[Asia/Shanghai]","0.0","178.68"
"Manage bank account","Search a bank account","FAILURE","2023-05-24T07:49:03.601+08:00[Asia/Shanghai]","0.0","53.99"
"Manage bank account","Activate a bank account","SUCCESS","2023-05-24T07:49:58.432+08:00[Asia/Shanghai]","0.0","59.06"
"Manage bank account","Manage bank account using GVAGL bank account","ERROR","2023-05-24T07:50:58.315+08:00[Asia/Shanghai]","0.0","204.32"
"Payments","Create voucher entry and manual payment","IGNORED","2023-05-24T07:54:26.29+08:00[Asia/Shanghai]","0.0","0.71"
"Payments","Manual payment partial","ERROR","2023-05-24T07:54:27.203+08:00[Asia/Shanghai]","0.0","310.32"
"Payments","Manual payment with multiple documents","ERROR","2023-05-24T07:59:38.187+08:00[Asia/Shanghai]","0.0","259.15"
"Payments","Application of prepayment full","ERROR","2023-05-24T08:03:57.996+08:00[Asia/Shanghai]","0.0","212.82"
"Payments","Manual payment with negative amount","ERROR","2023-05-24T08:07:31.48+08:00[Asia/Shanghai]","0.0","243.33"
"Payments","Manual payment with zero payments","ERROR","2023-05-24T08:11:35.492+08:00[Asia/Shanghai]","0.0","427.3"
"Payments","Manual payment full","ERROR","2023-05-24T08:18:43.466+08:00[Asia/Shanghai]","0.0","249.77"
"Payments","Application of prepayment partial","ERROR","2023-05-24T08:22:53.894+08:00[Asia/Shanghai]","0.0","214.61"
"Pre registration","Pre logging and gl distribution voucher match","SUCCESS","2023-05-24T08:26:34.001+08:00[Asia/Shanghai]","0.0","148.28"
"Pre registration","Pre logging multi docs","SUCCESS","2023-05-24T08:29:02.962+08:00[Asia/Shanghai]","0.0","204.42"
"Pre registration","Pre logging","SUCCESS","2023-05-24T08:32:28.045+08:00[Asia/Shanghai]","0.0","98.8"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2023-05-24T08:34:07.496+08:00[Asia/Shanghai]","0.0","101.73"
"Pre registration","Pre logging simple","SUCCESS","2023-05-24T08:35:49.87+08:00[Asia/Shanghai]","0.0","68.63"
"Pre registration","Pre logging with tax rate","SUCCESS","2023-05-24T08:36:59.148+08:00[Asia/Shanghai]","0.0","108.23"
"Redistribution","Pre logging GL distribution current year","SUCCESS","2023-05-24T08:38:50.056+08:00[Asia/Shanghai]","0.0","99.84"
"Redistribution","Pre logging GL distribution prior year","SUCCESS","2023-05-24T08:40:30.534+08:00[Asia/Shanghai]","0.0","105.25"
"Redistribution","Voucher match with tolerance","ERROR","2023-05-24T08:42:16.457+08:00[Asia/Shanghai]","0.0","105.91"
"Review AP entries","Edit voucher entries delete a line","SUCCESS","2023-05-24T08:44:03.982+08:00[Asia/Shanghai]","0.0","292.69"
"Review AP entries","Create manual payment and delete unposted payment","ERROR","2023-05-24T08:48:57.305+08:00[Asia/Shanghai]","0.0","251.24"
"Review AP entries","Clear employee field for GL distribution and voucher entries","SUCCESS","2023-05-24T08:53:09.19+08:00[Asia/Shanghai]","0.0","146.2"
"Review AP entries","Reversal of unposted PO redistribution","SUCCESS","2023-05-24T08:55:36.052+08:00[Asia/Shanghai]","0.0","129.88"
"Review AP entries","Create voucher entry and edit","ERROR","2023-05-24T08:57:46.58+08:00[Asia/Shanghai]","0.0","174.12"
"Review AP entries","Edit AP entries","SUCCESS","2023-05-24T09:00:41.357+08:00[Asia/Shanghai]","0.0","157.26"
"Review AP entries","Review voucher AP entries","SUCCESS","2023-05-24T09:03:19.262+08:00[Asia/Shanghai]","0.0","136.45"
"Review AP entries","Search payment","SUCCESS","2023-05-24T09:05:36.351+08:00[Asia/Shanghai]","0.0","35.42"
"Review AP entries","Reversal of unposted voucher match","ERROR","2023-05-24T09:06:12.43+08:00[Asia/Shanghai]","0.0","114.86"
"Review AP entries","Check edit button for voucher entry and redistribute GL","SUCCESS","2023-05-24T09:08:07.954+08:00[Asia/Shanghai]","0.0","239.39"
"Review AP entries","Print payment form","SUCCESS","2023-05-24T09:12:07.993+08:00[Asia/Shanghai]","0.0","97.14"
"Review AP entries","Edit voucher entry line account number","SUCCESS","2023-05-24T09:13:45.779+08:00[Asia/Shanghai]","0.0","205.18"
"Review AP entries","Payment information","SUCCESS","2023-05-24T09:17:11.608+08:00[Asia/Shanghai]","0.0","89.29"
